ID,EMAIL,GPN,NOME,SALARIO_BASE_FY_ATUAL,EMPLOYEE_STATUS,PAIS,GENDER,LOCATION_CITY,SERVICE_LINE,SUB_SL,RANK_ATUAL,EXP_LEV_ATUAL,JOB_TITLE,HIRING_DATE,PROPORCIONAL_HIRING_DATE,LAST_PROMOTION_DATE,UTILIZAÇAO,PROMOÇAO,LEAD_ATUAL,RANK_FUTURO,EXP_LEVEL_FUTURO,ACTUAL,SMUS_ID,JOBS_ID,LEVEL
31,BR1288166360@ey.com.br,BR1288166360,Justin Irving,1000,Active,Brasil,M,Brasilia - Audit,Advisory,PI,42-Senior,7,Especialista,8/1/2015 0:00,1,3/2/2020 0:00,0.196704,Progression,Differentiating,42-Senior,7,0,12,4,0
32,BR1284267850@ey.com.br,BR1284267850,Janet Murillo,1000,Active,Brasil,M,São Paulo,Advisory,PI,42-Senior,7,Especialista,5/1/2016 0:00,1,4/27/2021 0:00,0.198833,Progression,Strategic Impact,42-Senior,7,0,4,4,0
33,BR921374680@ey.com.br,BR921374680,Lucinda Triplett,1000,Active,Brasil,M,Salvador,Advisory,Risk,44-Staff/Assistant,1,Analista Senior,4/1/2018 0:00,1,5/19/2020 0:00,0.697534,Progression,nan,44-Staff/Assistant,1,0,9,1,0
34,BR1033465720@ey.com.br,BR1033465720,Harold Bray,1000,Active,Brasil,M,Rio de Janeiro,Advisory,Risk,44-Staff/Assistant,2,Analista Senior,3/1/2018 0:00,1,9/17/2020 0:00,0.328878,Progression,Differentiating,44-Staff/Assistant,2,0,5,1,0
35,BR668419380@ey.com.br,BR668419380,Melissa Brisco,1000,Active,Brasil,M,Rio de Janeiro,Advisory,Risk,44-Staff/Assistant,2,Analista Senior,8/1/2015 0:00,1,9/29/2020 0:00,0.157715,Progression,Progressing,44-Staff/Assistant,2,0,5,1,0
36,BR811989290@ey.com.br,BR811989290,Bonnie Watson,1000,Active,Brasil,M,Belo Horizonte,Advisory,Risk,44-Staff/Assistant,1,Analista Senior,6/1/2014 0:00,1,11/21/2020 0:00,0.336971,Progression,nan,44-Staff/Assistant,1,0,8,1,0
37,BR1154375320@ey.com.br,BR1154375320,Johnny Pierce,1000,Active,Brasil,M,Recife,Advisory,PI,44-Staff/Assistant,1,Analista Senior,2/1/2020 0:00,0.416667,2/17/2020 0:00,0.398774,Progression,nan,44-Staff/Assistant,1,0,6,1,0
38,BR994183430@ey.com.br,BR994183430,Harold Anderson,1000,Active,Brasil,M,São Paulo,Advisory,PI,42-Senior,4,Especialista,5/1/2019 0:00,1,12/24/2020 0:00,0.340696,Progression,Progressing,42-Senior,4,0,10,4,0
39,BR544633570@ey.com.br,BR544633570,Donald Diminich,1000,Active,Brasil,M,Porto Alegre,Advisory,PI,44-Staff/Assistant,2,Analista Senior,12/1/2016 0:00,1,5/16/2020 0:00,0.804809,Progression,Progressing,44-Staff/Assistant,2,0,11,1,0
40,BR1212756420@ey.com.br,BR1212756420,Mike Ledoux,1000,Active,Brasil,M,Curitiba,Advisory,Risk,44-Staff/Assistant,3,Analista Senior,8/1/2018 0:00,1,1/29/2021 0:00,0.827211,Promotion,Progressing,42-Senior,3,0,5,1,0
41,BR976598320@ey.com.br,BR976598320,Gordon Gaskins,1000,Active,Brasil,M,Fortaleza,Advisory,PI,44-Staff/Assistant,2,Analista Senior,2/1/2016 0:00,1,2/26/2021 0:00,0.412652,Promotion,Progressing,44-Staff/Assistant,2,0,7,1,0
42,BR1532497660@ey.com.br,BR1532497660,Kris Figaro,1000,Active,Brasil,M,Recife,Advisory,PI,44-Staff/Assistant,2,Analista Senior,9/1/2017 0:00,1,3/11/2021 0:00,0.324434,Promotion,Strategic Impact,44-Staff/Assistant,2,0,1,1,0
43,BR1582497570@ey.com.br,BR1582497570,Deshawn Spencer,1000,Active,Brasil,M,Brasilia - Audit,Advisory,Risk,32-Manager,1,Gerente,6/1/2020 0:00,0.0833333,12/19/2020 0:00,0.239983,Promotion,Progressing,21-Senior Manager,1,0,3,2,0
44,BR853851160@ey.com.br,BR853851160,George Christensen,1000,Active,Brasil,M,São Paulo,Advisory,PI,21-Senior Manager,9,Gerente Senior,7/1/2014 0:00,1,4/16/2020 0:00,0.241689,Progression,Differentiating,21-Senior Manager,9,0,11,3,0
45,BR693784520@ey.com.br,BR693784520,Vivian Vega,1000,Active,Brasil,M,Belo Horizonte,Advisory,PI,44-Staff/Assistant,1,Analista Senior,3/1/2020 0:00,0.333333,5/13/2020 0:00,0.588387,Progression,nan,44-Staff/Assistant,1,0,6,1,0
46,BR1014192610@ey.com.br,BR1014192610,Anthony Jacobs,1000,Active,Brasil,M,Salvador,Advisory,Risk,42-Senior,4,Especialista,7/1/2018 0:00,1,12/29/2020 0:00,0.418886,Progression,Need to Progress,42-Senior,4,0,9,4,0
47,BR1025434880@ey.com.br,BR1025434880,Eric Dougherty,1000,Active,Brasil,M,Curitiba,Advisory,PI,44-Staff/Assistant,3,Analista Senior,6/1/2017 0:00,1,12/30/2020 0:00,0.420816,Progression,Progressing,44-Staff/Assistant,3,0,12,1,0
48,BR542683770@ey.com.br,BR542683770,Cheri Chumley,1000,Active,Brasil,M,Porto Alegre,Advisory,PI,44-Staff/Assistant,2,Analista Senior,5/1/2016 0:00,1,4/19/2020 0:00,0.63579,Promotion,Progressing,44-Staff/Assistant,2,0,1,1,0
49,BR363873970@ey.com.br,BR363873970,James Simcoe,1000,Active,Brasil,M,Belo Horizonte,Advisory,Risk,32-Manager,4,Gerente,1/1/2015 0:00,1,2/11/2021 0:00,0.358781,Progression,Progressing,32-Manager,4,0,9,2,0
50,BR1335816610@ey.com.br,BR1335816610,Nadine Saldana,1000,Active,Brasil,M,São Paulo,Advisory,PI,44-Staff/Assistant,2,Analista Senior,12/1/2015 0:00,1,12/1/2020 0:00,0.578778,Promotion,Progressing,42-Senior,3,0,6,1,0
51,BR1145335760@ey.com.br,BR1145335760,George Furbee,1000,Active,Brasil,M,Rio de Janeiro,Advisory,PI,66-Associate,1,Analista Junior,5/1/2014 0:00,1,2/27/2021 0:00,0.273752,Progression,Progressing,66-Associate,1,0,11,5,0
52,BR946218660@ey.com.br,BR946218660,Sylvester Nielsen,1000,Active,Brasil,M,Salvador,Advisory,PI,44-Staff/Assistant,2,Analista Senior,6/1/2016 0:00,1,12/19/2020 0:00,0.25831,Promotion,Progressing,42-Senior,3,0,6,1,0
53,BR1298419650@ey.com.br,BR1298419650,Leontine Figg,1000,Active,Brasil,M,Brasilia - Audit,Advisory,PI,44-Staff/Assistant,2,Analista Senior,6/1/2015 0:00,1,1/15/2020 0:00,0.543074,Promotion,Progressing,44-Staff/Assistant,2,0,11,1,0
54,BR752144320@ey.com.br,BR752144320,Joseph Shaefer,1000,Active,Brasil,M,Fortaleza,Advisory,Risk,13-Executive Director,1,Diretor,8/1/2015 0:00,1,2/20/2021 0:00,0.182845,Progression,Progressing,13-Executive Director,1,0,1,6,0
55,BR1258124850@ey.com.br,BR1258124850,Shannon Nelson,1000,Active,Brasil,M,São Paulo,Advisory,Risk,42-Senior,7,Especialista,2/1/2017 0:00,1,4/19/2021 0:00,0.453213,Progression,Progressing,42-Senior,7,0,9,4,0
56,BR1086521590@ey.com.br,BR1086521590,Clara Levasseur,1000,Active,Brasil,M,Recife,Advisory,PI,44-Staff/Assistant,2,Analista Senior,4/1/2020 0:00,0.25,4/22/2020 0:00,0.774106,Separation,Need to Progress,44-Staff/Assistant,2,0,6,1,0
57,BR343853160@ey.com.br,BR343853160,Adrian Ericson,1000,Active,Brasil,M,Campinas,Advisory,Risk,44-Staff/Assistant,1,Analista Senior,5/1/2017 0:00,1,4/18/2020 0:00,0.312314,Progression,nan,44-Staff/Assistant,1,0,5,1,0
58,BR1054143580@ey.com.br,BR1054143580,Jane Mccreary,1000,Active,Brasil,M,Salvador,Advisory,Risk,32-Manager,2,Gerente,10/1/2014 0:00,1,1/2/2021 0:00,0.687735,Progression,Progressing,32-Manager,2,0,9,2,0
59,BR846967640@ey.com.br,BR846967640,Jackie Lawson,1000,Active,Brasil,M,Brasilia - Audit,Advisory,PI,32-Manager,2,Gerente,10/1/2017 0:00,1,9/17/2020 0:00,0.396547,Progression,Progressing,32-Manager,2,0,11,2,0
60,BR1392277320@ey.com.br,BR1392277320,Jennifer Davis,1000,Active,Brasil,M,Salvador,Advisory,PI,44-Staff/Assistant,2,Analista Senior,10/1/2018 0:00,1,12/12/2020 0:00,0.332593,Promotion,Progressing,44-Staff/Assistant,2,0,1,1,0
61,BR685834350@ey.com.br,BR685834350,John Spurling,1000,Active,Brasil,M,Fortaleza,Advisory,PI,42-Senior,4,Especialista,3/1/2014 0:00,1,10/13/2020 0:00,0.783887,Progression,Strategic Impact,42-Senior,4,0,11,4,0
62,BR1331238760@ey.com.br,BR1331238760,Katie Caccavale,1000,Active,Brasil,M,Brasilia - Ass,Advisory,PI,44-Staff/Assistant,1,Analista Senior,2/1/2014 0:00,1,4/18/2020 0:00,0.577749,Progression,nan,44-Staff/Assistant,1,0,6,1,0
63,BR642621560@ey.com.br,BR642621560,Patrick Durham,1000,Active,Brasil,M,Brasilia - Audit,Advisory,Risk,44-Staff/Assistant,2,Analista Senior,2/1/2016 0:00,1,4/8/2021 0:00,0.57481,Promotion,Strategic Impact,44-Staff/Assistant,2,0,5,1,0
64,BR975275240@ey.com.br,BR975275240,Jerry Johnson,1000,Active,Brasil,M,Belo Horizonte,Advisory,PI,44-Staff/Assistant,2,Analista Senior,7/1/2014 0:00,1,12/15/2020 0:00,0.43206,Freezing,Strategic Impact,44-Staff/Assistant,2,0,6,1,0
65,BR1367456150@ey.com.br,BR1367456150,Elizabeth Hernandez,1000,Active,Brasil,M,Rio de Janeiro,Advisory,Risk,44-Staff/Assistant,2,Analista Senior,7/1/2018 0:00,1,7/10/2020 0:00,0.195215,Promotion,Progressing,44-Staff/Assistant,2,0,9,1,0
66,BR1132531380@ey.com.br,BR1132531380,Charles Winesett,1000,Active,Brasil,M,Rio de Janeiro,Advisory,PI,44-Staff/Assistant,2,Analista Senior,1/1/2019 0:00,1,4/6/2020 0:00,0.527079,Separation,Need to Progress,44-Staff/Assistant,2,0,6,1,0
67,BR887285350@ey.com.br,BR887285350,Olga Jones,1000,Active,Brasil,M,Belo Horizonte,Advisory,PI,44-Staff/Assistant,2,Analista Senior,9/1/2015 0:00,1,4/12/2020 0:00,0.622714,Freezing,Strategic Impact,44-Staff/Assistant,2,0,6,1,0
68,BR1088211610@ey.com.br,BR1088211610,Lisa Vogt,1000,Active,Brasil,M,Brasilia - Ass,Advisory,PI,42-Senior,5,Especialista,5/1/2017 0:00,1,3/3/2021 0:00,0.779831,Progression,Progressing,42-Senior,6,0,12,4,0
69,BR527497160@ey.com.br,BR527497160,Lorraine Kinroth,1000,Active,Brasil,M,Campinas,Advisory,Other Advisory,65-Senior Associate,1,Analista Pleno,9/1/2015 0:00,1,7/9/2020 0:00,0.723286,Freezing,Need to Progress,65-Senior Associate,1,0,2,7,0
70,BR747144690@ey.com.br,BR747144690,Carlos Hunt,1000,Active,Brasil,M,Goiania,Advisory,PI,44-Staff/Assistant,1,Analista Senior,4/1/2020 0:00,0.25,2/27/2020 0:00,0.141218,Progression,Progressing,44-Staff/Assistant,2,0,12,1,0
71,BR1325823370@ey.com.br,BR1325823370,Mark Spencer,1000,Active,Brasil,M,Porto Alegre,Advisory,Risk,44-Staff/Assistant,2,Analista Senior,10/1/2014 0:00,1,4/15/2021 0:00,0.514408,Promotion,Progressing,44-Staff/Assistant,2,0,5,1,0
72,BR1637292580@ey.com.br,BR1637292580,Anne Denny,1000,Active,Brasil,M,Brasilia - Audit,Advisory,Risk,44-Staff/Assistant,2,Analista Senior,6/1/2016 0:00,1,8/18/2020 0:00,0.781584,Promotion,Progressing,44-Staff/Assistant,2,0,8,1,0
73,BR627525280@ey.com.br,BR627525280,Jennifer Cotter,1000,Active,Brasil,M,Rio de Janeiro,Advisory,PI,44-Staff/Assistant,2,Analista Senior,3/1/2017 0:00,1,4/22/2021 0:00,0.433354,Promotion,Strategic Impact,42-Senior,3,0,6,1,0
74,BR1258638480@ey.com.br,BR1258638480,David Inoue,1000,Active,Brasil,M,Brasilia - Ass,Advisory,PI,44-Staff/Assistant,2,Analista Senior,2/1/2016 0:00,1,7/30/2020 0:00,0.610862,Promotion,Differentiating,42-Senior,3,0,6,1,0
75,BR1657312160@ey.com.br,BR1657312160,Joseph Fears,1000,Active,Brasil,M,Salvador,Advisory,Risk,44-Staff/Assistant,1,Analista Senior,3/1/2018 0:00,1,2/21/2020 0:00,0.485092,Progression,nan,44-Staff/Assistant,1,0,5,1,0
76,BR818915850@ey.com.br,BR818915850,Robert Kuntz,1000,Active,Brasil,M,São Paulo,Advisory,Risk,42-Senior,4,Especialista,1/1/2020 0:00,0.5,7/7/2020 0:00,0.493179,Progression,Progressing,42-Senior,4,0,5,4,0
77,BR498777260@ey.com.br,BR498777260,Robert Johnson,1000,Active,Brasil,M,Belo Horizonte,Advisory,PI,44-Staff/Assistant,1,Analista Senior,4/1/2017 0:00,1,1/26/2021 0:00,0.456802,Progression,nan,44-Staff/Assistant,1,0,6,1,0
78,BR1477513460@ey.com.br,BR1477513460,Lien Luckey,1000,Active,Brasil,M,Goiania,Advisory,PI,44-Staff/Assistant,2,Analista Senior,5/1/2020 0:00,0.166667,10/12/2020 0:00,0.378322,Progression,Progressing,44-Staff/Assistant,3,0,12,1,0
79,BR748211680@ey.com.br,BR748211680,Teresa Mora,1000,Active,Brasil,M,São Paulo,Advisory,PI,42-Senior,1,Especialista,9/1/2015 0:00,1,11/14/2020 0:00,0.415131,Promotion,Differentiating,32-Manager,1,0,1,4,0
80,BR1065695570@ey.com.br,BR1065695570,Jean Anderson,1000,Active,Brasil,M,Brasilia - Audit,Advisory,Risk,44-Staff/Assistant,3,Analista Senior,2/1/2015 0:00,1,1/15/2020 0:00,0.318308,Progression,Differentiating,44-Staff/Assistant,3,0,9,1,0
81,BR1215757580@ey.com.br,BR1215757580,Eileen Kirk,1000,Active,Brasil,M,Fortaleza,Advisory,PI,44-Staff/Assistant,3,Analista Senior,4/1/2014 0:00,1,4/28/2020 0:00,0.164842,Promotion,Progressing,42-Senior,3,0,10,1,0
82,BR412163990@ey.com.br,BR412163990,Richard Dambrose,1000,Active,Brasil,M,Curitiba,Advisory,PI,44-Staff/Assistant,2,Analista Senior,4/1/2019 0:00,1,4/30/2021 0:00,0.299756,Promotion,Differentiating,42-Senior,3,0,12,1,0
83,BR617467510@ey.com.br,BR617467510,Charles Walker,1000,Active,Brasil,M,Campinas,Advisory,Risk,21-Senior Manager,3,Gerente Senior,6/1/2015 0:00,1,4/6/2020 0:00,0.826672,Progression,Differentiating,21-Senior Manager,3,0,9,3,0
84,BR776632250@ey.com.br,BR776632250,Christine Mahon,1000,Active,Brasil,M,Porto Alegre,Advisory,PI,44-Staff/Assistant,2,Analista Senior,5/1/2015 0:00,1,7/11/2020 0:00,0.168657,Freezing,Differentiating,44-Staff/Assistant,2,0,6,1,0
85,BR863852840@ey.com.br,BR863852840,Lawrence Franklin,1000,Active,Brasil,M,Campinas,Advisory,PI,13-Executive Director,1,Diretor,6/1/2014 0:00,1,4/8/2021 0:00,0.404709,Progression,nan,13-Executive Director,1,0,1,6,0
86,BR1392389380@ey.com.br,BR1392389380,Bernadette Lopez,1000,Active,Brasil,M,Brasilia - Ass,Advisory,PI,44-Staff/Assistant,2,Analista Senior,11/1/2015 0:00,1,7/15/2020 0:00,0.38658,Promotion,Progressing,44-Staff/Assistant,2,0,7,1,0
87,BR692353390@ey.com.br,BR692353390,Richard Archuleta,1000,Active,Brasil,M,Goiania,Advisory,Risk,42-Senior,4,Especialista,10/1/2018 0:00,1,2/5/2020 0:00,0.476091,Promotion,Differentiating,32-Manager,1,0,5,4,0
88,BR699533260@ey.com.br,BR699533260,Lisa Groves,1000,Active,Brasil,M,Brasilia - Audit,Advisory,PI,44-Staff/Assistant,2,Analista Senior,2/1/2020 0:00,0.416667,8/10/2020 0:00,0.236559,Promotion,Differentiating,44-Staff/Assistant,2,0,1,1,0
89,BR781443190@ey.com.br,BR781443190,Mary Floyd,1000,Active,Brasil,M,Brasilia - Ass,Advisory,Risk,44-Staff/Assistant,1,Analista Senior,1/1/2017 0:00,1,12/1/2020 0:00,0.465029,Progression,nan,44-Staff/Assistant,1,0,8,1,0
90,BR1229761310@ey.com.br,BR1229761310,John Lander,1000,Active,Brasil,M,Recife,Advisory,Risk,44-Staff/Assistant,2,Analista Senior,5/1/2018 0:00,1,6/6/2020 0:00,0.309375,Promotion,Strategic Impact,44-Staff/Assistant,2,0,11,1,0
91,BR1139472410@ey.com.br,BR1139472410,Tracey Luhman,1000,Active,Brasil,M,Porto Alegre,Advisory,PI,42-Senior,5,Especialista,1/1/2020 0:00,0.5,1/27/2020 0:00,0.575606,Progression,Need to Progress,42-Senior,5,0,11,4,0
92,BR1378564260@ey.com.br,BR1378564260,Maggie Koenig,1000,Active,Brasil,M,Brasilia - Audit,Advisory,PI,44-Staff/Assistant,1,Analista Senior,4/1/2020 0:00,0.25,2/18/2021 0:00,0.513484,Progression,nan,44-Staff/Assistant,1,0,1,1,0
93,BR1861456630@ey.com.br,BR1861456630,Rhonda Cooper,1000,Active,Brasil,M,Rio de Janeiro,Advisory,Risk,44-Staff/Assistant,3,Analista Senior,2/1/2016 0:00,1,11/2/2020 0:00,0.237017,Promotion,Progressing,42-Senior,3,0,8,1,0
94,BR1142474450@ey.com.br,BR1142474450,Judy Vanconant,1000,Active,Brasil,M,Belo Horizonte,Advisory,PI,42-Senior,4,Especialista,3/1/2017 0:00,1,12/12/2020 0:00,0.797624,Progression,Strategic Impact,42-Senior,4,0,10,4,0
95,BR1129162130@ey.com.br,BR1129162130,Carrie Simon,1000,Active,Brasil,M,Salvador,Advisory,Risk,44-Staff/Assistant,2,Analista Senior,1/1/2020 0:00,0.5,1/31/2020 0:00,0.594058,Promotion,Progressing,44-Staff/Assistant,2,0,8,1,0
96,BR1093217370@ey.com.br,BR1093217370,Carroll Defilippis,1000,Active,Brasil,M,Brasilia - Audit,Advisory,Risk,42-Senior,5,Especialista,5/1/2014 0:00,1,1/3/2021 0:00,0.487696,Progression,Progressing,42-Senior,5,0,9,4,0
97,BR1551244280@ey.com.br,BR1551244280,Sean Mccray,1000,Active,Brasil,M,Brasilia - Audit,Advisory,Risk,44-Staff/Assistant,1,Analista Senior,12/1/2017 0:00,1,11/20/2020 0:00,0.404838,Progression,nan,44-Staff/Assistant,1,0,9,1,0
98,BR883659260@ey.com.br,BR883659260,Kenneth Hale,1000,Active,Brasil,M,Porto Alegre,Advisory,PI,44-Staff/Assistant,1,Analista Senior,5/1/2017 0:00,1,6/4/2020 0:00,0.201952,Progression,nan,44-Staff/Assistant,1,0,1,1,0
99,BR498769750@ey.com.br,BR498769750,Connie Earing,1000,Active,Brasil,M,Brasilia - Audit,Advisory,Risk,42-Senior,5,Especialista,10/1/2019 0:00,0.75,6/4/2020 0:00,0.686863,Progression,Progressing,42-Senior,5,0,9,4,0
